paper_id,exp_id,combined_id,description,result,refsol,environment
0000.00000,0,0000.00000_0,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 96
Parameters:
- model micn
- mode regre
- seq_len 96
- label_len 96
- multivariate to multivariate
- conv_kernel 12 16
Return: MSE loss",0.179,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,19,0000.00000_19,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 192
Parameters:
- model micn
- mode regre
- seq_len 96
- label_len 96
- conv_kernel 12 16
- univariate to univariate
Return: MAE loss",0.234,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
2205.10664,0,2205.10664_0,"Experiment: Run experiment using DRAIN method on ONP dataset
Parameters:
- learning rate 1e-4
- 10 LSTM layers
- 20 hidden dimension
Return: Test misclassification rate in percent",38.3,"cd classification
mv model_onp.py model.py
python train.py --dataset ONP --learning_rate 1e-4 --num_rnn_layer 10 --hidden_dim 20",drain_env
2205.10664,1,2205.10664_1,"Experiment: Run experiment using DRAIN method on Elec2 dataset
Parameters:
- learning rate 5e-5
- 10 LSTM layers
- 128 hidden dimension
Return: Test misclassification rate in percent",12.7,"cd classification
mv model_elec.py model.py
python train.py --dataset Elec2 --learning_rate 5e-5 --num_rnn_layer 10 --hidden_dim 128",drain_env
2206.06565,2,2206.06565_2,"Experiment: Run the baseline experiment on perturbed MNIST dataset using Lenet-5 as the model
Parameters:
- model Lenet-5
- dataset MNIST
- eps 0.1
- signed constant noise
Return: test accuracy in percent",99.06,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.1 -t sign",lift
2206.06565,5,2206.06565_5,"Experiment: Run the baseline experiment on MNIST dataset using MLP as the model
Parameters:
- model MLP
- dataset MNIST
- eps 0
Return: test accuracy in percent",98.09,"cd classification
python run_exps/run_baseline_mnist.py -m mlp",lift
2209.12288,0,2209.12288_0,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type fea --data 500 --embSize 6",gnn_lp_env
2209.12288,5,2209.12288_5,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 500 data points 
- embedding size 6
- 10000 epochs 
- l2 loss
Return: Testing error rate",0.591,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type obj --data 500 --embSize 6
python 3_testing.py --type obj --set test --loss l2 --embSize 6 --data 500 --dataTest 500",gnn_lp_env
2311.10227,0,2311.10227_0,"Experiment: run evaluation of BigToM on false belief action using gpt-3.5-turbo with simulation method.
Parameters:
- false belief action
- model gpt-3.5-turbo
- simulation method
Return: evaluation accuracy",70.5,"cd code
python evaluate_bigtom.py --eval_model=gpt-3.5-turbo --condition=false_belief --method=simulation",simulatedtom_env
2311.10227,3,2311.10227_3,"Experiment: run evaluation of BigToM on false belief action using GPT-4 with chain of thought method.
Parameters:
- false belief action
- model GPT-4
- chain of thought method
Return: evaluation accuracy",93.25,"cd code
python evaluate_bigtom.py --eval_model=gpt-4 --condition=false_belief --method=cot",simulatedtom_env
2210.07562,0,2210.07562_0,"Experiment: run evaluation on Cifar-10 dataset using CCT-7/3x1(1500)+HTM model using checkpoint model
Parameters:
- checkpoint weights directory: experiments/weights/cct_cifar10_htm.pth.tar
- Cifar-10 dataset
Return: top-1 accuracy",97.57,"cd experiments
sh run/eval_cct_7-3x1_cifar10_HTM.sh ",tokenmixup
2210.07562,1,2210.07562_1,"Experiment: run evaluation on Cifar-10 dataset using CCT-7/3x1(1500)+VTM model using checkpoint model
Parameters:
- checkpoint weights directory: experiments/weights/cct_cifar10_vtm.pth.tar
- Cifar-10 dataset
Return: top-1 accuracy",97.78,"cd experiments
sh run/eval_cct_7-3x1_cifar10_VTM.sh ",tokenmixup
2209.15486,0,2209.15486_0,"Experiment: Run ELPH model on Cora dataset
Return: test accuracy",87.72,"cd src
python runners/run.py --dataset_name Cora --model ELPH",subgraph
2209.15486,9,2209.15486_9,"Experiment: Run BUDDY model on DDI dataset
Parameters:
--K 20 
--train_node_embedding 
--propagate_embeddings 
--label_dropout 0.25 
--epochs 150 
--hidden_channels 256 
--lr 0.0015 
--num_negs 6 
--use_feature 0 
--sign_k 2 
--cache_subgraph_features
--batch_size 131072
Return: test accuracy",78.51,"cd src
python runners/run.py --dataset ogbl-ddi --K 20 --train_node_embedding --propagate_embeddings --label_dropout 0.25 --epochs 150 --hidden_channels 256 --lr 0.0015 --num_negs 6 --use_feature 0 --sign_k 2 --cache_subgraph_features --batch_size 131072 --model BUDDY
",subgraph